iter	Passed	Remaining
324	3010	2084
325	3019	2074
326	3026	2064
327	3036	2054
328	3044	2045
329	3053	2035
330	3061	2025
331	3070	2016
332	3079	2006
333	3087	1996
334	3097	1987
335	3105	1977
336	3114	1968
337	3122	1958
338	3132	1949
339	3140	1939
340	3147	1929
341	3156	1919
342	3165	1910
343	3174	1900
344	3182	1891
345	3191	1881
346	3200	1872
347	3208	1862
348	3217	1853
349	3225	1843
350	3232	1832
351	3241	1823
352	3250	1814
353	3259	1804
354	3267	1794
355	3276	1785
356	3286	1776
357	3296	1767
358	3304	1758
359	3313	1748
360	3322	1739
361	3331	1730
362	3339	1720
363	3347	1710
364	3355	1700
365	3362	1690
366	3369	1680
367	3378	1670
368	3385	1660
369	3392	1650
370	3399	1640
371	3406	1630
372	3413	1619
373	3420	1609
374	3427	1599
375	3433	1589
376	3440	1578
377	3447	1568
378	3454	1558
379	3461	1548
380	3468	1538
381	3475	1528
382	3482	1518
383	3488	1508
384	3496	1498
385	3503	1488
386	3511	1478
387	3517	1468
388	3524	1458
389	3531	1448
390	3538	1439
391	3545	1429
392	3552	1419
393	3559	1409
394	3566	1399
395	3573	1389
396	3580	1380
397	3587	1370
398	3594	1360
399	3601	1350
400	3609	1341
401	3615	1331
402	3622	1321
403	3629	1311
404	3635	1301
405	3642	1292
406	3650	1282
407	3657	1272
408	3664	1263
409	3670	1253
