model,split,threshold_mode,threshold,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp,false_alerts,missed_anomalies,alert_count,alert_rate,precision_at_50,recall_at_50,anomalies_found_at_50,precision_at_100,recall_at_100,anomalies_found_at_100,precision_at_200,recall_at_200,anomalies_found_at_200
Autoencoder Reconstruction,test,balanced_f1,0.01636704893921364,0.7483443708609272,0.6420454545454546,0.691131498470948,0.6933722910750707,0.9392262149615092,9244,38,63,113,38,63,151,0.01596532036371326,0.98,0.2784090909090909,49,0.88,0.5,88,0.605,0.6875,121
Autoencoder Reconstruction,val,precision_floor_60,0.013658206560097468,0.6040609137055838,0.6685393258426966,0.6346666666666667,0.6687549061343354,0.9216752580128381,9201,78,59,119,78,59,197,0.020831130379612987,0.98,0.2752808988764045,49,0.85,0.47752808988764045,85,0.595,0.6685393258426966,119
Autoencoder Reconstruction,test,precision_floor_60,0.013658206560097468,0.580952380952381,0.6931818181818182,0.6321243523316062,0.6933722910750707,0.9392262149615092,9194,88,54,122,88,54,210,0.0222034256713893,0.98,0.2784090909090909,49,0.88,0.5,88,0.605,0.6875,121
Autoencoder Reconstruction,val,precision_floor_65,0.01636704893921364,0.7125,0.6404494382022472,0.6745562130177515,0.6687549061343354,0.9216752580128381,9233,46,64,114,46,64,160,0.016918684572274505,0.98,0.2752808988764045,49,0.85,0.47752808988764045,85,0.595,0.6685393258426966,119
Autoencoder Reconstruction,test,precision_floor_65,0.01636704893921364,0.7483443708609272,0.6420454545454546,0.691131498470948,0.6933722910750707,0.9392262149615092,9244,38,63,113,38,63,151,0.01596532036371326,0.98,0.2784090909090909,49,0.88,0.5,88,0.605,0.6875,121
Autoencoder Reconstruction,val,precision_floor_70,0.01636704893921364,0.7125,0.6404494382022472,0.6745562130177515,0.6687549061343354,0.9216752580128381,9233,46,64,114,46,64,160,0.016918684572274505,0.98,0.2752808988764045,49,0.85,0.47752808988764045,85,0.595,0.6685393258426966,119
Autoencoder Reconstruction,test,precision_floor_70,0.01636704893921364,0.7483443708609272,0.6420454545454546,0.691131498470948,0.6933722910750707,0.9392262149615092,9244,38,63,113,38,63,151,0.01596532036371326,0.98,0.2784090909090909,49,0.88,0.5,88,0.605,0.6875,121
Hybrid Unsupervised Anomaly Detector,val,balanced_f1,0.12607348764952414,0.7592592592592593,0.9213483146067416,0.8324873096446701,0.9362218038548145,0.9984906112751882,9227,52,14,164,52,14,216,0.022840224172570582,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.78,0.8764044943820225,156
Hybrid Unsupervised Anomaly Detector,test,balanced_f1,0.12607348764952414,0.8058252427184466,0.9431818181818182,0.8691099476439791,0.9521290209519504,0.9989226459814695,9242,40,10,166,40,10,206,0.021780503277648553,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.82,0.9318181818181818,164
Hybrid Unsupervised Anomaly Detector,val,precision_floor_60,0.10805913545139667,0.6286764705882353,0.9606741573033708,0.76,0.9362218038548145,0.9984906112751882,9178,101,7,171,101,7,272,0.02876176377286666,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.78,0.8764044943820225,156
Hybrid Unsupervised Anomaly Detector,test,precision_floor_60,0.10805913545139667,0.6214285714285714,0.9886363636363636,0.7631578947368421,0.9521290209519504,0.9989226459814695,9176,106,2,174,106,2,280,0.0296045675618524,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.82,0.9318181818181818,164
Hybrid Unsupervised Anomaly Detector,val,precision_floor_65,0.11136824695607321,0.6692913385826772,0.9550561797752809,0.7870370370370371,0.9362218038548145,0.9984906112751882,9195,84,8,170,84,8,254,0.026858411758485776,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.78,0.8764044943820225,156
Hybrid Unsupervised Anomaly Detector,test,precision_floor_65,0.11136824695607321,0.6564885496183206,0.9772727272727273,0.7853881278538812,0.9521290209519504,0.9989226459814695,9192,90,4,172,90,4,262,0.027701416790019032,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.82,0.9318181818181818,164
Hybrid Unsupervised Anomaly Detector,val,precision_floor_70,0.11873092755528747,0.7191489361702128,0.949438202247191,0.8184019370460048,0.9362218038548145,0.9984906112751882,9213,66,9,169,66,9,235,0.02484931796552818,1.0,0.2808988764044944,50,1.0,0.5617977528089888,100,0.78,0.8764044943820225,156
Hybrid Unsupervised Anomaly Detector,test,precision_floor_70,0.11873092755528747,0.7359307359307359,0.9659090909090909,0.8353808353808354,0.9521290209519504,0.9989226459814695,9221,61,6,170,61,6,231,0.02442376823852823,1.0,0.2840909090909091,50,1.0,0.5681818181818182,100,0.82,0.9318181818181818,164
